detector,descriptor,frame_index,track_id,keypoint_count,match_count,filtered_match_count,num_pairs,ttc_camera
BRISK,BRIEF,13,1,2970,172,172,2595,13.7960
BRISK,ORB,13,1,2942,154,148,1843,11.6610
BRISK,FREAK,13,1,2434,154,151,1887,13.3165
BRISK,AKAZE,13,1,3012,139,130,1391,11.8672
BRISK,SIFT,13,1,3012,174,170,2491,11.9426
ORB,BRIEF,13,1,500,45,45,234,8.8664
ORB,ORB,13,1,500,44,44,234,11.0890
ORB,FREAK,13,1,183,23,23,38,6.5780
ORB,AKAZE,13,1,500,34,33,108,5.3017
ORB,SIFT,13,1,500,41,40,190,7.3129
AKAZE,BRIEF,13,1,1538,112,112,1543,10.3195
AKAZE,ORB,13,1,1532,105,105,1407,10.8738
AKAZE,FREAK,13,1,1538,109,107,1467,10.8239
AKAZE,AKAZE,13,1,1538,108,107,1516,10.4357
AKAZE,SIFT,13,1,1538,112,112,1593,10.8530
SIFT,BRIEF,13,1,1807,105,102,732,8.8927
SIFT,ORB,13,1,1782,93,90,607,8.7115
SIFT,FREAK,13,1,1822,90,88,500,8.4951
SIFT,AKAZE,13,1,2030,34,31,115,9.4480
SIFT,SIFT,13,1,2030,94,89,556,8.7606
SHITOMASI,BRIEF,13,1,1634,90,90,583,11.7077
SHITOMASI,ORB,13,1,1612,89,88,562,11.7799
SHITOMASI,FREAK,13,1,1678,75,75,495,11.9459
SHITOMASI,AKAZE,13,1,1881,93,93,596,11.7254
SHITOMASI,SIFT,13,1,1881,91,90,583,11.7077
HARRIS,BRIEF,14,1,458,49,48,35,9.5605
HARRIS,ORB,14,1,454,48,46,26,11.6940
HARRIS,FREAK,14,1,463,43,42,24,11.9160
HARRIS,AKAZE,14,1,463,48,47,35,11.7931
HARRIS,SIFT,14,1,463,48,48,43,11.2961
FAST,BRIEF,14,1,899,60,60,537,11.8009
FAST,ORB,14,1,885,59,58,488,11.4888
FAST,FREAK,14,1,912,46,46,309,12.2391
FAST,AKAZE,14,1,972,62,62,573,12.1033
FAST,SIFT,14,1,972,60,60,537,12.2766
BRISK,BRIEF,14,1,2987,180,180,3225,11.9123
BRISK,ORB,14,1,2958,156,154,2203,13.6755
BRISK,FREAK,14,1,2446,147,146,1893,13.8549
BRISK,AKAZE,14,1,3026,151,137,1802,13.0552
BRISK,SIFT,14,1,3026,180,175,2986,13.4023
ORB,BRIEF,14,1,500,48,48,269,7.4173
ORB,ORB,14,1,500,48,48,269,7.9535
ORB,FREAK,14,1,192,23,23,28,54.2226
ORB,AKAZE,14,1,500,33,32,84,8.8953
ORB,SIFT,14,1,500,43,42,189,12.8361
AKAZE,BRIEF,14,1,1555,118,118,1786,9.4647
AKAZE,ORB,14,1,1547,115,114,1642,9.9871
AKAZE,FREAK,14,1,1555,115,112,1617,9.5346
AKAZE,AKAZE,14,1,1555,116,112,1582,9.9671
AKAZE,SIFT,14,1,1555,116,116,1634,10.0785
SIFT,BRIEF,14,1,1815,108,107,723,8.5405
SIFT,ORB,14,1,1786,92,90,500,9.0699
SIFT,FREAK,14,1,1834,91,91,507,8.9830
SIFT,AKAZE,14,1,2048,34,31,117,8.5422
